X,Y,FID,Name
-8.748006379074095,53.297346845210015,151,Athenry Community Hall
-8.803874738032638,53.156016716032546,152,Ardrahan GAA Pitch
-8.539501609796513,53.195712672278745,153,Loughrea Driving Range
-8.748539102247719,53.299500486714827,154,Canton Hall
-8.183751996726508,53.236039133152012,155,Lawerencetown Community Pitch
-8.871389497094885,53.062511522653764,156,Gort Golf Club
-10.0742423802304,53.430881263290004,157,Ballyconneely Parish Hall Association Ltd
-8.23453921814389,53.333180796813565,158,Sea Spa Leisure Centre
-8.632238173282866,53.273670447291096,159,Kiltullagh Socer Club
-9.180765731777932,53.337518069508548,160,Aras Uilinn
-9.17744753518433,53.358240048891709,161,Moycullen Handball Club
-8.225157309124898,53.090734543208534,162,Portumna Tennis Club
-8.325831529069982,53.523478596412204,163,Aonad Family Resource Centre
-9.020015681234272,53.378113330461545,164,Clonboo Riding School
-8.730881865683836,53.230057546523476,165,Craughwell GAA
-8.430827504377293,53.509046160244402,166,Newbridge Community Hall
-9.159713921723341,53.30265533310547,167,Moycullen Riding Centre
-8.848282641431997,53.51925084583393,168,Palace Grounds Park &Playround
-8.571773987382594,53.679435766548629,169,Williamstown Community Parish Hall
-10.106217269148669,53.554479294188631,170,Cleggan Beach Riding Centre
-8.400364398039212,53.049039984634256,171,Woodford Community Youth Centre
-8.203719665706567,53.333821573563178,172,Ballinasloe Enterprise & Technology Centre
-8.398172039412669,53.050656101155788,173,Tommy Larkins GAA
-8.356671376135285,53.262698377398273,174,Killalaghton Town Hall
-8.565990822555239,53.2127733806987,175,Loughrea Rugby F.C.
-8.434416669596166,53.435404200230472,176,Caltra Hall
-8.814301377146119,53.059033206142914,177,Swan Leisure Club
-8.472837644788932,53.133776852043596,178,Slieve Aughty Riding Centre
-8.22496242414984,53.330673948270494,179,Ballinasloe Town Hall
-8.230736760246851,53.326879361771937,180,Ballinasloe Town AFC Soccer Grounds
-8.238136644669591,53.324060924538855,181,Ballinasloe Social Services
-8.325891292924897,53.523406547457505,182,Oughterard Soccer Club
-8.588688872628127,53.423366123009053,183,Menlough GAA Complex
-8.226555561782884,53.331012408695287,184,The Social Centre
-8.565990822555239,53.2127733806987,185,Fitness 2000
-8.063563855307175,53.240333772516536,186,Clonfert Community Pitch
-8.410157578222572,53.269626271902141,187,Cappatagle community Centre
-8.129360315138785,53.200737214949747,188,Eyrecourt Community Centre
-8.699973159522791,53.37715653929952,189,Monivea/Abbey GAA Football Club
-10.068287990253463,53.480564872324692,190,Errislanna Equestrian Centre
-8.825936957341044,53.634025589465786,191,Garrafranes Community Centre
-8.234449135404107,53.333189959616348,192,Kingfisher Leisure Complex
-9.735083568114838,53.324344652368204,193,Paírc Peile Cill Chiarain
-8.219783634239342,53.327843722629282,194,The Junction Project
-8.228287209113821,53.30386839812401,195,Ballinasloe Golf Club
-9.299746889711448,53.421752840018719,196,Connemara Gateway Hotel
-9.62226254213523,53.36970365807224,197,Collaiste Chuimneach An Phiarsaigh
-8.169030750340221,53.301531588353214,198,Ballinasloe Tennis Club
-8.211134474872891,53.083705244413537,199,Public Swimming Area Portumna
-10.02787149216746,53.488700131751933,200,West Connemara Sports & Leisure Complex
-8.502718805030225,53.382454912011958,201,Padraig Pearses GAA Club
-8.01076100568099,53.19931508619019,202,Esker Community Centre
-8.897663119344932,53.611689218809751,203,Milltown Community Centre/Playground Area
-8.245107088048579,53.301480447175088,204,Ballinasloe Rugby Football Club
-8.55404189133564,53.247448321987974,205,Ballaun Community Hall
-8.976541611978337,53.573290461565293,206,Kilconly Community Centre
-8.229370407032647,53.326819089712515,207,Ballinasloe GAA Club
-8.821178236152631,53.066068196759765,208,St. Colemans Community Hall
-8.845897853596535,53.510056049900825,209,Tuam Stars GAA
-8.532617601094264,53.465705965084624,210,Mountbellew Golf Club
-9.717162138616951,53.464475495603033,211,Old Recess National School
-8.876204956259082,53.2305158838399,212,Clarenbridge GAA club
-9.165119050216516,53.27854305736571,213,Barna Golf Club
-8.21533709178448,53.118244916914428,214,Boula Community Hall
-10.028130410175041,53.486862123897851,215,Clifden Childrens Playground
-8.290196341080318,53.165233234285303,216,Killimor Community Hall
-8.9388762244894,53.337401711319714,217,Claregalway GAA Club
-10.028025787429659,53.487511083801891,218,Connemara Rugby F.C.
-8.286535791314686,53.16348957535201,219,St Josephs Meeting Room
-10.016944101375721,53.488678336225881,220,Clifden station house
-9.104643155950736,53.469587803817205,221,Solas Family Resource Centre
-9.829691741384277,53.322948903688193,222,Carna Community Pitch
-10.112779666050541,53.556826374314781,223,Cleggan Resource Centre
-10.127310967969999,53.415808416980383,224,The Point Equestrian Centre
-9.31533213689457,53.428996813379655,225,Seamus OMaille GAA Club
-8.958893904816183,53.388353079390107,226,Annaghdown GAA
-8.726766539322869,53.438710451533041,227,Abbeyknockmoy Community Centre
-9.328775429958437,53.427715653201048,228,Oughterard Rugby Football Club
-8.477650196003358,53.224061725807836,229,Dartfield horse Museum & Park
-9.174840779875581,53.359595825679968,230,Moycullen GAA Complex
-8.629110319816428,53.228085790628491,231,Kilconieron GAA Club
-9.673309650094744,53.111550622837754,232,Pionnuir Liathroid Laimhe
-8.939568586644516,53.139789638319812,233,Kinvara Community Centre
-8.376974514229902,53.152785480616295,234,Tynagh Community Centre
-8.726688879529762,53.438567146422187,235,Abbeyknockmoy Hurling Club
-8.219174698293932,53.094448541515646,236,Sign Out Youth Café/Project
-8.853748214096729,53.514340984240704,237,St. Marys Cathedral & Adjoining Synod Hall
-8.822898284427312,53.016956816239983,238,Beagh Community Centre
-8.890087014846989,53.369644325559385,239,Lackagh Museum Committee
-8.90750651204346,53.182935748290596,240,Ballinderreen Hurling Club Grounds
-10.043807969036576,53.49071165034502,241,Clifden Town Hall
-9.287274790732122,53.42178004365843,242,Oughterard Golf Club
-8.768416634070102,53.065126370123785,243,Kilbeacanty GAA Grounds
-8.748461469770533,53.299348206530418,244,Gort Family Resource Centre
-10.001556669207968,53.608902999966269,245,Renvyle House Hotel Golf club
-8.738312652204515,53.112537428382247,246,Joe Cooley Memorial Hall
-8.745990418042485,53.29959732196167,247,Athenry Heritage Centre
-9.756432904100039,53.460219489393936,248,Glendalough Pitch & Putt
-9.460706142682941,53.240874497375565,249,Seanscoil Sailearna
